plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,DOY,cGDD
ALB_03_MD_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,A,5,67,5,5,11,137,657.5
ALB_03_NC_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,A,6,66,5,6,10,104,626.35
ALB_03_VT_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,C,3,57,5,3,1,143,568.5
ALB_03_NC_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,E,3,57,5,3,1,122,750.9
ALB_03_MD_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,D,5,52,4,5,10,135,642.5
ALB_05_VT_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,D,5,40,3,5,12,143,568.5
ALB_05_VT_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,A,5,57,5,5,1,143,568.5
ALB_05_NC_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,C,3,14,1,3,14,122,750.9
ALB_05_MD_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,B,5,40,3,5,12,141,674.8
ALB_05_NC_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,A,5,40,3,5,12,118,725.5
ALB_05_MD_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,D,3,14,1,3,14,141,674.8
ALB_05_VT_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,C,6,17,2,6,3,146,591.2
ALB_05_NC_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,D,4,58,5,4,2,118,725.5
ALB_05_MD_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,C,6,61,5,6,5,139,665.65
ALB_05_VT_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,B,4,13,1,4,13,136,523.95
ALB_05_VT_E,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,E,2,10,1,2,10,146,591.2
ALB_05_MD_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,A,4,58,5,4,2,144,687.4
ALB_05_NC_E,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,E,6,45,4,6,3,111,684.95
ALB_05_MD_E,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,E,6,31,3,6,3,145,693.8
ALB_05_NC_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,B,6,61,5,6,5,111,684.95
ALB_05_VT_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,D,5,40,3,5,12,141,554.55
ALB_06_NC_D,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,D,4,41,3,4,13,111,684.95
ALB_06_VT_E,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,E,4,42,3,4,14,141,554.55
ALB_06_VT_C,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,C,3,69,5,3,13,141,554.55
ALB_06_NC_A,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,A,2,28,2,2,14,111,684.95
ALB_06_NC_B,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,B,4,28,2,4,14,122,750.9
ALB_06_VT_B,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,B,4,41,3,4,13,143,568.5
ALB_06_NC_C,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,C,6,63,5,6,7,111,684.95
ALB_06_MD_E,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,E,3,69,5,3,13,138,662.4
ALB_06_MD_A,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,A,4,27,2,4,13,141,674.8
ALB_06_MD_C,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,C,4,28,2,4,14,139,665.65
ALB_06_VT_A,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,A,2,8,1,2,8,146,591.2
ALB_06_MD_B,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,B,2,56,4,2,14,135,642.5
ALB_06_VT_D,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,D,2,56,4,2,14,143,568.5
ALB_06_MD_D,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,D,6,63,5,6,7,133,629.9
ALB_06_NC_E,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,E,3,69,5,3,13,118,725.5
APP_01_VT_E,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,E,6,44,4,6,2,146,591.2
APP_01_VT_D,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,D,5,19,2,5,5,141,554.55
APP_01_MD_D,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,D,5,12,1,5,12,133,629.9
APP_01_MD_A,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,A,6,37,3,6,9,141,674.8
APP_01_NC_C,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,C,5,12,1,5,12,118,725.5
APP_01_NC_B,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,B,6,30,3,6,2,122,750.9
APP_01_MD_B,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,B,5,19,2,5,5,143,683.5
APP_01_MD_C,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,C,6,44,4,6,2,139,665.65
APP_01_VT_B,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,B,6,51,4,6,9,146,591.2
APP_01_VT_C,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,C,6,9,1,6,9,139,538.3
APP_01_NC_A,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,A,5,47,4,5,5,104,626.35
APP_01_VT_A,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,A,3,59,5,3,3,146,591.2
APP_01_MD_E,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,E,6,9,1,6,9,140,669.6
APP_01_NC_D,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,D,6,23,2,6,9,111,684.95
APP_02_MD_D,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,D,3,21,2,3,7,143,683.5
APP_02_VT_C,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,C,2,27,2,2,13,146,591.2
APP_02_VT_A,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,A,3,35,3,3,7,146,591.2
APP_02_MD_B,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,B,5,41,3,5,13,141,674.8
APP_02_NC_A,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,A,5,41,3,5,13,101,604.35
APP_02_VT_D,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,D,5,41,3,5,13,146,591.2
APP_02_MD_E,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,E,2,41,3,2,13,145,693.8
APP_02_NC_D,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,D,5,61,5,5,5,111,684.95
APP_02_VT_B,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,B,3,10,1,3,10,146,591.2
APP_02_MD_A,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,A,5,61,5,5,5,139,665.65
APP_02_NC_E,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,E,2,55,4,2,13,122,750.9
APP_02_MD_C,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,C,4,56,4,4,14,139,665.65
APP_02_NC_B,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,B,4,42,3,4,14,111,684.95
APP_02_VT_E,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,E,4,56,4,4,14,146,591.2
APP_02_NC_C,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,C,3,21,2,3,7,118,725.5
APP_03_VT_A,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,A,4,45,4,4,3,139,538.3
APP_03_NC_A,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,A,3,53,4,3,11,111,684.95
APP_03_MD_C,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,C,4,12,1,4,12,141,674.8
APP_03_MD_B,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,B,3,25,2,3,11,137,657.5
APP_03_NC_B,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,B,4,12,1,4,12,111,684.95
APP_03_MD_A,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,A,3,8,1,3,8,137,657.5
APP_03_NC_D,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,D,3,8,1,3,8,122,750.9
APP_03_VT_C,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,C,3,3,1,3,3,146,591.2
APP_03_MD_D,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,D,4,31,3,4,3,138,662.4
APP_03_VT_D,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,D,3,25,2,3,11,136,523.95
APP_03_VT_E,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,E,4,59,5,4,3,141,554.55
APP_03_NC_E,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,E,3,3,1,3,3,122,750.9
APP_03_MD_E,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,E,3,3,1,3,3,135,642.5
APP_04_MD_A,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,A,4,17,2,4,3,141,674.8
APP_04_VT_C,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,C,4,49,4,4,7,136,523.95
APP_04_NC_B,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,B,5,30,3,5,2,105,634.4
APP_04_VT_B,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,B,4,31,3,4,3,139,538.3
APP_04_VT_D,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,D,6,11,1,6,11,141,554.55
APP_04_MD_B,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,B,2,60,5,2,4,137,657.5
APP_04_MD_D,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,D,6,33,3,6,5,143,683.5
APP_04_VT_A,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,A,6,47,4,6,5,146,591.2
APP_04_VT_A,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,A,6,47,4,6,5,139,538.3
APP_04_NC_C,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,C,6,47,4,6,5,122,750.9
APP_04_MD_C,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,C,5,44,4,5,2,139,665.65
APP_04_NC_A,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,A,6,11,1,6,11,125,777.7
APP_04_MD_E,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,E,4,21,2,4,7,135,642.5
APP_04_NC_E,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,E,4,35,3,4,7,111,684.95
APP_04_VT_E,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,E,5,44,4,5,2,141,554.55
APP_05_VT_E,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,E,6,61,5,6,5,146,591.2
APP_05_VT_B,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,B,6,45,4,6,3,139,538.3
APP_05_VT_D,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,D,6,41,3,6,13,143,568.5
APP_05_MD_C,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,C,2,10,1,2,10,146,696.9
APP_05_MD_E,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,E,5,55,4,5,13,135,642.5
APP_05_MD_A,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,A,6,31,3,6,3,135,642.5
APP_05_VT_C,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,C,5,41,3,5,13,146,591.2
APP_05_NC_B,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,B,2,10,1,2,10,111,684.95
APP_05_NC_D,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,D,6,17,2,6,3,122,750.9
APP_05_NC_C,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,C,6,27,2,6,13,118,725.5
APP_05_MD_B,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,B,6,41,3,6,13,137,657.5
APP_05_MD_D,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,D,6,27,2,6,13,141,674.8
APP_05_NC_E,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,E,5,27,2,5,13,118,725.5
APP_05_VT_A,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,A,6,41,3,6,13,139,538.3
APP_05_NC_A,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,A,6,41,3,6,13,122,750.9
APP_06_MD_C,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,C,6,48,4,6,6,139,665.65
APP_06_NC_A,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,A,4,29,3,4,1,104,626.35
APP_06_MD_A,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,A,5,53,4,5,11,125,585.4
APP_06_VT_D,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,D,4,29,3,4,1,141,554.55
APP_06_VT_B,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,B,5,25,2,5,11,143,568.5
APP_06_VT_A,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,A,5,50,4,5,8,143,568.5
APP_06_NC_D,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,D,5,53,4,5,11,105,634.4
APP_06_MD_E,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,E,3,35,3,3,7,135,642.5
APP_06_NC_E,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,E,3,49,4,3,7,105,634.4
APP_06_VT_C,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,C,3,21,2,3,7,139,538.3
APP_06_MD_B,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,B,4,29,3,4,1,143,683.5
APP_06_NC_B,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,B,6,34,3,6,6,105,634.4
APP_06_MD_D,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,D,5,36,3,5,8,141,674.8
APP_06_NC_C,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,C,5,50,4,5,8,100,595.95
