"","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","FinalHT","Height_Fall2019","Growth"
"65","ALB_01_MD_D","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"MD_D","Maryland","D",6,21,2,6,7,77.5,28.5,49
"66","ALB_01_MD_E","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"MD_E","Maryland","E",5,34,3,5,6,85,48.5,36.5
"67","ALB_01_NC_A","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"NC_A","North_Carolina","A",4,6,1,4,6,40,28,12
"68","ALB_01_NC_B","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"NC_B","North_Carolina","B",4,4,1,4,4,63,40,23
"69","ALB_01_NC_C","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"NC_C","North_Carolina","C",6,21,2,6,7,66.5,44,22.5
"70","ALB_01_NC_D","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"NC_D","North_Carolina","D",4,11,1,4,11,28,20,8
"71","ALB_01_NC_E","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"NC_E","North_Carolina","E",5,48,4,5,6,47,36,11
"72","ALB_01_VT_A","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"VT_A","Vermont","A",6,35,3,6,7,47.5,21.5,26
"73","ALB_01_VT_B","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"VT_B","Vermont","B",4,60,5,4,4,49.5,29,20.5
"74","ALB_01_VT_D","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"VT_D","Vermont","D",4,6,1,4,6,34,21,13
"75","ALB_01_VT_E","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"VT_E","Vermont","E",4,67,5,4,11,57,37,20
"76","ALB_02_MD_A","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"MD_A","Maryland","A",6,2,1,6,2,15.3,5,10.3
"77","ALB_02_MD_B","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"MD_B","Maryland","B",2,53,4,2,11,17,12,5
"78","ALB_02_MD_C","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"MD_C","Maryland","C",3,38,3,3,10,26.5,19,7.5
"79","ALB_02_MD_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"MD_D","Maryland","D",2,18,2,2,4,47,22,25
"80","ALB_02_NC_A","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"NC_A","North_Carolina","A",2,25,2,2,11,50,37,13
"81","ALB_02_NC_B","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"NC_B","North_Carolina","B",3,52,4,3,10,19,12,7
"82","ALB_02_NC_C","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"NC_C","North_Carolina","C",2,18,2,2,4,51,36,15
"83","ALB_02_NC_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"NC_D","North_Carolina","D",6,2,1,6,2,37,25.5,11.5
"84","ALB_02_NC_E","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"NC_E","North_Carolina","E",3,61,5,3,5,23,19.5,3.5
"85","ALB_02_VT_A","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"VT_A","Vermont","A",2,32,3,2,4,42,29.5,12.5
"86","ALB_02_VT_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"VT_D","Vermont","D",2,53,4,2,11,51.5,30.5,21
"87","ALB_02_VT_E","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"VT_E","Vermont","E",3,24,2,3,10,33.5,22,11.5
"88","ALB_03_MD_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"MD_A","Maryland","A",5,67,5,5,11,39.5,26,13.5
"89","ALB_03_MD_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"MD_B","Maryland","B",2,5,1,2,5,28.5,15.5,13
"90","ALB_03_MD_C","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"MD_C","Maryland","C",6,14,1,6,14,47.5,32,15.5
"91","ALB_03_MD_D","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"MD_D","Maryland","D",5,52,4,5,10,32,19.5,12.5
"92","ALB_03_MD_E","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"MD_E","Maryland","E",3,57,5,3,1,51.5,32.5,19
"93","ALB_03_NC_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"NC_A","North_Carolina","A",6,66,5,6,10,33.5,28.5,5
"94","ALB_03_NC_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"NC_B","North_Carolina","B",6,14,1,6,14,44,33.5,10.5
