plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet
APP_05_NC_E,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,E,5,27,2,5,13,262
APP_06_VT_E,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,E,6,48,4,6,6,249
APP_06_VT_C,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,C,3,21,2,3,7,196
APP_06_VT_C,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,C,3,21,2,3,7,253
APP_06_VT_D,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,D,4,29,3,4,1,291
APP_06_VT_A,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,A,5,50,4,5,8,260
APP_06_MD_A,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,A,5,53,4,5,11,207
APP_06_MD_B,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,B,4,29,3,4,1,218
APP_06_MD_D,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,D,5,36,3,5,8,274
APP_06_MD_E,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,E,3,35,3,3,7,267
APP_06_MD_C,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,C,6,48,4,6,6,259
APP_06_VT_C,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,C,3,21,2,3,7,242
APP_06_VT_B,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,B,5,25,2,5,11,294
APP_06_NC_A,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,A,4,29,3,4,1,252
APP_06_NC_C,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,C,5,50,4,5,8,259
APP_06_NC_E,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,E,3,49,4,3,7,210
ASC_01_MD_E,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,E,5,50,4,5,8,267
ASC_01_MD_A,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,A,2,14,1,2,14,204
ASC_01_VT_A,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Vermont,A,5,15,2,5,1,213
ASC_01_VT_B,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Vermont,B,6,57,5,6,1,263
ASC_01_VT_C,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Vermont,C,5,36,3,5,8,294
ASC_01_VT_D,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Vermont,D,2,69,5,2,13,267
ASC_01_VT_E,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Vermont,E,5,7,1,5,7,234
ASC_01_MD_A,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,A,2,14,1,2,14,231
ASC_01_MD_B,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,B,6,2,1,6,2,204
ASC_01_MD_C,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,C,3,64,5,3,8,278
ASC_01_MD_D,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,D,5,43,4,5,1,210
ASC_01_MD_B,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,B,6,2,1,6,2,204
