,Family,Pop,Tree,State,Region,Date,lat,lon,Elevation,BudBreak2020_Plasticity
31,BAL_04,BAL,4,NY,C,8302017,44.15409,-73.65688,670,0.198547909
32,BAL_05,BAL,5,NY,C,8302017,44.15415,-73.65799,698,0.235464726
33,BAL_10,BAL,10,NY,C,8302017,44.16008,-73.66681,918,0.214536479
34,BBE_01,BBE,1,NH,C,10132017,43.83596,-71.55484,365,0.209018059
35,BBE_02,BBE,2,NH,C,10132017,43.83457,-71.54906,368,0.180554589
36,BBE_03,BBE,3,NH,C,10142017,43.83484,-71.53966,373,0.207271687
37,BBE_04,BBE,4,NH,C,10142017,43.83367,-71.53963,383,0.177518563
38,BBE_05,BBE,5,NH,C,10142017,43.83176,-71.54305,374,0.205675021
39,BER_01,BER,1,ME,C,11262017,44.69079,-70.37595,481,0.206611515
40,BER_02,BER,2,ME,C,11262017,44.69043,-70.37637,487,0.225047482
41,BER_03,BER,3,ME,C,11262017,44.68987,-70.37686,482,0.196799539
42,BER_04,BER,4,ME,C,11262017,44.68953,-70.37609,487,0.20281451
43,BER_05,BER,5,ME,C,11262017,44.68899,-70.37624,492,0.234438623
44,BER_06,BER,6,ME,C,11262017,44.68834,-70.37627,496,0.194667172
45,BFA_01,BFA,1,WV,E,9282017,38.4766,-79.7229,1348,0.204545909
46,BFA_02,BFA,2,WV,E,9282017,38.47666,-79.71849,1325,0.195444349
47,BFA_03,BFA,3,WV,E,9282017,38.47696,-79.71696,1336,0.214487644
48,BFA_04,BFA,4,WV,E,9282017,38.47797,-79.7165,1333,0.208174613
49,BFA_05,BFA,5,WV,E,9282017,38.47892,-79.71738,1328,0.192787102
50,BLA_01,BLA,1,PA,M,9132017,41.11477,-75.59536,475,0.221266143
51,BLA_02,BLA,2,PA,M,9132017,41.11296,-75.59274,499,0.212315371
52,BLA_03,BLA,3,PA,M,9132017,41.11094,-75.58869,513,0.202283057
53,BLA_04,BLA,4,PA,M,9132017,41.11113,-75.58817,513,0.237195062
54,BLA_05,BLA,5,PA,M,9132017,41.11547,-75.59589,510,0.243610431
55,BRA_01,BRA,1,PA,M,9132017,41.15817,-75.53619,520,0.216817532
56,BRA_02,BRA,2,PA,M,9132017,41.15854,-75.53651,531,0.231398091
57,BRA_03,BRA,3,PA,M,9132017,41.16102,-75.53809,528,0.217057211
58,BRA_04,BRA,4,PA,M,9132017,41.16406,-75.54375,531,0.186201483
59,BRA_05,BRA,5,PA,M,9132017,41.15577,-75.52876,539,0.219012312
60,BRB_01,BRB,1,WV,E,10022017,39.11781,-79.58277,988,0.187834904
61,BRB_02,BRB,2,WV,E,10022017,39.11853,-79.58482,985,0.192153747
62,BRB_03,BRB,3,WV,E,10022017,39.11863,-79.58606,983,0.204967996
63,BRB_04,BRB,4,WV,E,10022017,39.11602,-79.58139,986,0.205051386
64,BRU_02,BRU,2,PA,M,9112017,41.35133,-75.17426,539,0.214947957
65,BRU_03,BRU,3,PA,M,9112017,41.34784,-75.20009,551,0.219362602
66,BRU_04,BRU,4,PA,M,9112017,41.3456,-75.20216,559,0.205128078
67,BRU_05,BRU,5,PA,M,9152017,41.34357,-75.20504,570,0.226398543
68,BRU_06,BRU,6,PA,M,9152017,41.34406,-75.20509,570,0.192951904
69,CAM_01,CAM,1,VT,C,10112017,44.30394,-72.91039,538,0.203661809
70,CAM_02,CAM,2,VT,C,10112017,44.31687,-72.90208,808,0.236492467
71,CAM_03,CAM,3,VT,C,10112017,44.32212,-72.88999,1102,0.210887479
72,CAM_04,CAM,4,VT,C,10112017,44.3215,-72.89375,999,0.197534242
73,CAM_05,CAM,5,VT,C,10112017,44.32146,-72.89611,927,0.219095579
74,CAM_06,CAM,6,VT,C,10112017,44.32074,-72.89718,909,0.190401504
75,CR_03,CR,3,NC,E,9002016,35.748862,-82.272246,1819,0.198526726
76,CR_04,CR,4,NC,E,9002016,35.750184,-82.270068,1811,0.20618499
77,CR_05,CR,5,NC,E,9002016,35.75331,-82.270147,1792,0.189121679
78,CR_06,CR,6,NC,E,9002016,35.755691,-82.269877,1776,0.177529938
79,CR_07,CR,7,NC,E,9002016,35.758106,-82.267885,1763,0.190762296
80,CRA_01,CRA,1,WV,E,9272017,38.1888,-80.27092,1072,0.195660578
81,CRA_02,CRA,2,WV,E,9272017,38.19923,-80.27311,1026,0.203115737
82,CRA_03,CRA,3,WV,E,9272017,38.19989,-80.27286,1023,0.173157913
83,CRA_04,CRA,4,WV,E,9272017,38.20064,-80.27233,1023,0.19607822
84,CRA_05,CRA,5,WV,E,9272017,38.20126,-80.27228,1021,0.18569836
85,CRA_06,CRA,6,WV,E,9272017,38.19853,-80.27083,1026,0.201691881
86,CRR_01,CRR,1,PA,M,9122017,41.37048,-76.26347,674,0.214871258
87,CRR_02,CRR,2,PA,M,9122017,41.37093,-76.26328,668,0.210512474
88,DG_04,DG,4,NC,E,9002016,35.78115,-82.2597,1955,0.202018067
89,DG_05,DG,5,NC,E,9002016,35.78197,-82.25905,1915,0.183346034
