"","Family","Population","Region","Latitude","Longitude","Elevation","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","BudBreak_cGDD","BudBreak_DOY","BudSet_2019","BudSet_2020","Growth_2019","Growth_2020"
"191","MAC_03","MAC","Core",44.05165,73.78802,1036,3.31951872145797,0.420098452763273,-0.952120681730013,-0.0992010895145556,0.847625624611479,-0.633268554507899,0.341379927042899,0.43877723864904,0.376935751256501,-0.169864077198586,0.0421355998362138,26.3350115313341,8.56741699053696,3.69743996511771,5.94015667897144,0.152726673390944,1.09491436918262
"192","MAC_04","MAC","Core",44.05131,73.78914,1014,3.27981809219809,0.393223252058532,-0.970182275473863,-0.0865210985607143,0.843529424996027,-0.624949835490323,0.33712031722185,0.409529753320381,0.390907790583249,-0.176223759899827,0.0333855305297962,20.5478064500241,9.13633292894938,4.23631977743569,5.75000165968463,0.100431543084411,1.13185779675472
"193","MAC_05","MAC","Core",44.05025,73.78994,969,3.20758245976246,0.258042487478676,-0.989041432551794,-0.0716991155339086,0.853002665791321,-0.644577589136897,0.268056536820462,0.3977436890026,0.351697090049243,-0.175914063455313,0.0678090687319609,26.2024847342936,8.45519095895391,3.22967393643901,5.82327655912831,0.136944326757458,0.943741034259741
"196","MMF_13","MMF","Core",44.51382,72.79353,737,2.63459276227189,1.08622800905045,1.0236442890963,-1.16623474336703,-0.0761572662089104,0.219760723507463,-0.338425614440557,-0.52258611813066,0.09372527020658,0.124914512471725,-0.0666081467203891,25.1066519166818,8.62990380961667,2.88146582651899,5.6328271927228,0.0650801490384977,0.812235012232958
"200","MMF_24","MMF","Core",44.51411,72.79349,737,2.642442291361,1.09200251943945,1.03004502852745,-1.17264932085108,-0.0708110102465658,0.219494673216498,-0.341781222412266,-0.508828650886718,0.0930127366480901,0.123194595086823,-0.0650586171078608,26.8342144430576,8.37921156900886,2.61878438067382,5.72397358390265,0.126157149147985,0.744969056153351
"201","MPG_01","MPG","Core",44.72913,72.03024,826,2.73452128232997,-0.446312292330502,-0.242034016538279,-0.689061730909867,-0.0999055097381132,-0.898344049571903,-0.0158516325152526,0.256968590340772,0.17600972744946,0.0500290174175841,0.0231063284003732,19.4476747182789,9.28625812536874,3.70814690950249,6.31453090307939,0.096256870912827,1.08988536744905
"202","MPG_02","MPG","Core",44.7312,72.03259,820,2.65066534259916,-0.51662543371696,-0.338172893171591,-0.717410651729847,-0.262632016029954,-0.787596300991946,-0.0267900720390353,0.0528635017200513,0.249352776886755,0.0797629682761907,0.0167249495990311,26.9563303605154,8.3889568460553,3.77642172821654,6.35577547239563,0.0921929510641664,0.944203006935225
"203","MPG_03","MPG","Core",44.73103,72.03169,830,2.66493687586016,-0.46843497299154,-0.315264061878964,-0.720658054157491,-0.192631688853107,-0.821977099752308,-0.021748838279443,0.115113415938232,0.214786744552832,0.0688765171662367,0.0419147089632786,23.0217113736535,8.93003403524748,3.93117332399054,5.37642917805721,0.183492261938987,0.992150921772558
"204","MPG_04","MPG","Core",44.72968,72.02951,820,2.75029657738852,-0.464131460158966,-0.213255327550549,-0.665384587863669,-0.0633107404833974,-0.898907112903268,-0.0107088081258486,0.314807876742861,0.160216365873112,0.0344866265789986,0.0196817194264847,28.0969860031139,8.37047577180758,4.19543349262102,6.20220021992583,0.0127676989056346,1.01027263579638
"205","MPG_05","MPG","Core",44.72948,72.02926,824,2.772384381101,-0.445886195808107,-0.199054144013342,-0.672039540550212,-0.065927037614584,-0.909044216625018,-0.00063792746269916,0.34375755587576,0.147523282369802,0.0319174972458552,0.0208164547490944,20.3214845286011,9.16235231713484,4.3617939071511,5.76648077902936,0.0433973187641085,0.866856953309454
"206","MPG_06","MPG","Core",44.72881,72.0307,822,2.70324471421687,-0.457049986095161,-0.270748259256581,-0.690486602267375,-0.123588874299158,-0.892950361832963,-0.015029615701028,0.194324570287662,0.192329755067499,0.0581374227976449,0.0223766347224076,30.7698997038424,7.89700640951647,4.37284453378684,5.29156271827638,0.00325024237556631,1.26740720576055
"207","MRC_02","MRC","Edge",36.672274,81.506,1600,-2.45930160729513,2.57442547572938,0.864684216534116,0.500119767513167,-0.562028125978875,0.228873930468975,-0.166178954847693,-0.0657886020045951,0.117424851789139,-0.259200348864083,-0.0566866373068334,31.2874444194728,7.78776102754705,2.72867874396618,5.5561772643954,0.167101946218656,0.958175254261332
"208","MRC_07","MRC","Edge",36.6625,81.516944,1569,-2.27292613924644,2.35037095258502,0.737244492648159,0.316237651153455,-0.667849365024886,0.380256288283003,-0.11404129249772,0.202175893927741,0.0821361220576566,-0.228855960441948,-0.075538178491138,31.6018852005417,7.84582503640458,3.54486564307249,6.21558603592118,0.0485468242342337,1.19232200573414
"209","MRC_08","MRC","Edge",36.6625,81.516111,1554,-2.30223623680628,2.29993179341588,0.732169573288916,0.307179593185668,-0.691070645397045,0.35193465156596,-0.117677510675983,0.197003554271075,0.0628099360159678,-0.237617932565695,-0.0546994632406909,26.0501548751918,8.46170425554443,2.63188123897436,5.71794010001806,0.168213652524967,0.887050089884373
"210","MRC_16","MRC","Edge",36.65629,81.54009,1616,-2.07645811504319,2.31229881965261,1.17443739630334,0.406587658448533,-0.895138171171178,0.739817816941105,-0.1547689039185,0.458489893218808,0.071123687341103,-0.213820805709823,-0.052806223162087,31.2676204130709,7.82614254064754,2.48364138618512,5.89209221785413,0.275976602817473,1.10506247446737
"211","MRC_18","MRC","Edge",36.65793,81.53847,1645,-2.09694502533442,2.45774563322917,1.39489453545943,0.446341096203403,-0.937549108685637,0.786757158589989,-0.269648545855077,0.333683507288511,0.085245802787625,-0.244281309234164,-0.0239109827551731,27.6296693346619,8.23243922239062,2.98114748725633,5.53329558284113,0.222355025557883,0.98368475018683
"212","MSK_01","MSK","Core",44.43429,71.43275,1197,3.48249261193863,2.04159085911545,1.49169599154448,-0.268611458184842,1.00934595469231,0.574118603608153,0.28498961778047,-0.387163456395991,-0.555950767601064,-0.0706131877228196,0.0340564391551871,27.9789218488344,8.30819757138767,2.30951760968048,5.77353732914225,0.0271330423314196,0.739592645811699
"213","MSK_02","MSK","Core",44.43365,71.41321,1226,3.66071785784583,2.0995600240375,1.59428859190526,-0.354926221096421,1.15771364314687,0.548722999087351,0.318051305479594,-0.38275920172025,-0.664111581133889,-0.0325399378470834,0.0556122690979873,30.1110145407719,8.07914799881955,1.64731839474112,5.850252017773,0.0212022208957975,0.998637634504247
"214","MSK_03","MSK","Core",44.43383,71.42283,1158,3.43213172718459,1.85842115920343,1.20357920650226,-0.316837358596428,1.01545176375051,0.449585972111465,0.358263952069715,-0.398186964492102,-0.529903716950548,-0.00498660175567986,0.0236408082825661,16.5023694483047,9.6600269984929,1.5935533369088,5.17112272719788,0.0579339009381057,0.921240971996301
"215","MSK_04","MSK","Core",44.4242,71.44677,850,2.4120246843237,0.597735491454848,0.0608565683006875,0.124061206186774,0.456031136178716,-0.446102346528098,0.420416967910456,-0.107082159231356,-0.158779544493902,0.0525335512757792,-0.00468394168768502,26.5035153397963,8.39916832508414,4.015927834062,5.57704178231402,0.151197147157883,0.954345068410859
"216","MT_01","MT","Edge",35.7568,82.2524,1711,-3.22582591799043,3.43103652995119,0.830681155247661,0.463828268436414,0.11519412058022,-0.139380388680799,-0.0688367820768817,0.0825385580568622,0.120544255762137,0.246474046589243,0.030340542733567,26.7494228588127,8.34487850193377,3.17731517304113,6.1374932609714,0.0098089148216321,1.26850230975968
"217","MT_04","MT","Edge",35.75649,82.25134,1678,-3.2503265654871,3.26535278307804,0.575643444206449,0.345301585116638,0.114126378209304,-0.192436048123668,0.00900207066372283,0.128710204910916,0.106443898421898,0.28761413265334,0.0267547096644215,33.2907996145748,7.62532270723073,2.48078611867872,6.20876295898303,0.258734144096593,1.08186980808179
"218","MT_05","MT","Edge",35.75581,82.25083,1649,-3.29715878047057,3.20706668108946,0.571780588741657,0.328757954697216,0.087144963457328,-0.222081590055553,0.0138523812292621,0.1267832849058,0.0933749797071686,0.262809513160131,0.0421975141944666,26.5590590880762,8.37017253842679,4.02968209370311,5.75677191818201,0.257903551435645,0.874082381582222
"219","MT_07","MT","Edge",35.75458,82.24234,1470,-3.56033235636657,2.49134821357573,0.00757847378283477,-0.00485934602586843,-0.196784755859753,-0.320555017772286,0.233961510644486,0.00833379098774434,0.0793057971211555,0.255026860325781,0.0515058538785816,31.7493953186996,7.79826384066025,3.33612381553979,6.09611823562963,0.199244426857335,0.975260945387745
