"Garden","Year","Population","Family","Region","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","Group"
NA,NA,"BBE","BBE_01","Core",0.892297199307082,-2.21945830488208,-0.943517264429528,0.139628272602272,0.208223969704196,-0.0228444014193832,-0.124919936334157,-0.27990823634206,0.022992238054593,0.200490991254428,-0.0168154710217347,"Core"
NA,NA,"BBE","BBE_02","Core",0.904166337493701,-2.17308249850577,-0.96125942423622,0.153700114984652,0.198693587295339,-0.000635156853309986,-0.102352804506524,-0.330052176815034,0.051028108223558,0.217892706762514,-0.0351937502798807,"Core"
NA,NA,"BBE","BBE_03","Core",0.909835819954456,-2.05921199188246,-0.987682145709186,0.161715025570025,0.202728997260005,-0.0280983502263939,-0.0655538076585112,-0.362501830064652,0.0598389793954553,0.235915380804745,-0.0288593881555923,"Core"
NA,NA,"BBE","BBE_04","Core",0.931256331716618,-2.02050290644203,-0.994379480536048,0.14702724142287,0.15605699515121,-0.0509408175186326,-0.0381135332104611,-0.379918041153988,0.0509757545266923,0.248850868978831,-0.0223431730203653,"Core"
NA,NA,"BBE","BBE_05","Core",0.918447250716504,-2.08824554412627,-0.992396099544733,0.162594020237069,0.158772500603333,0.017847356113106,-0.0607380808503099,-0.382337592629136,0.0687015563059156,0.241783818021481,-0.027568924651959,"Core"
NA,NA,"BER","BER_01","Core",2.05246398622531,-1.96648001036101,-0.94698144258771,-0.0527355774580408,0.278604122492141,0.214483468096785,0.00197960952962278,-0.0939541371597593,-0.0633639703622229,0.243965720592633,-0.000754887474495077,"Core"
NA,NA,"BER","BER_02","Core",2.05116377286978,-1.95270835760865,-0.954275638529086,-0.0665466730251131,0.258159200951677,0.209547042824297,0.00936422142121747,-0.110906899540262,-0.0630689472320497,0.247265511672455,-0.000431049815998923,"Core"
NA,NA,"BER","BER_03","Core",1.96382402726494,-1.94635049482604,-0.929931128573284,-0.077692150127169,0.285288857716532,0.169518199632442,0.0444291239221286,-0.116651003413828,-0.0434376658961192,0.329187662296677,-0.0082269291263902,"Core"
NA,NA,"BER","BER_04","Core",2.05146000721981,-1.93863133963652,-0.960102576722656,-0.0798692958905834,0.23893124733324,0.204255623318926,0.0169321959127458,-0.124726397257033,-0.0636604820761749,0.250164694846948,-5.18609188085739e-05,"Core"
NA,NA,"BER","BER_05","Core",1.98449131942196,-1.83191271797102,-0.741763012734763,-0.012971989051311,0.198146299297892,0.158092850142109,-0.0709865816519196,-0.235922810885729,-0.07987450552957,0.197306835622998,0.0464278874116002,"Core"
NA,NA,"BER","BER_06","Core",1.97969633494321,-1.83312542863331,-0.747460882088397,-0.0167563072773425,0.194170741218901,0.16096786859793,-0.0701791486345409,-0.253322617993761,-0.0792883476131845,0.200369428247222,0.0463305649278293,"Core"
NA,NA,"BFA","BFA_01","Edge",-0.638064797267446,1.1868763593901,-0.886240485277531,0.72751086292549,0.102964726565783,-0.244678137442594,0.202968193627326,-0.312488419800477,-0.0481188427444776,-0.109336320356184,-0.0514120888417508,"Edge"
NA,NA,"BFA","BFA_02","Edge",-0.662936385131591,1.06609968296776,-0.877420650042094,0.764271860874483,0.0925654431075146,-0.213903640265809,0.178035907957656,-0.280690860219099,-0.0560261539886302,-0.124841530366084,-0.0339363722990073,"Edge"
NA,NA,"BFA","BFA_03","Edge",-0.643132109287384,1.06730114046501,-0.880997202996473,0.754053453464564,0.0706559040991039,-0.230831324259578,0.181741912118993,-0.321944390544187,-0.0454389332224953,-0.10684594355082,-0.0461052235671489,"Edge"
NA,NA,"BFA","BFA_04","Edge",-0.662037042832893,1.07080541665935,-0.895708712709861,0.763483196353487,0.0670808302254155,-0.218359413004297,0.191239106219397,-0.334281554698199,-0.0489994162176803,-0.107455525672574,-0.0238353796335025,"Edge"
NA,NA,"BFA","BFA_05","Edge",-0.662644752364601,1.06161056857641,-0.890708015220767,0.766919738869921,0.0860710493274737,-0.20954710380645,0.180422028002403,-0.324895658492443,-0.0518604342110684,-0.109186925526668,-0.0261432394584688,"Edge"
NA,NA,"BLA","BLA_01","Margin",-0.75755871857769,-2.21423128329967,-1.01082628559704,-0.393456618760821,-0.0339683647763324,0.130453908726611,-0.516368814659361,-0.0229854075624482,-0.211386352429565,-0.154130094649009,0.105416217354578,"Margin"
NA,NA,"BLA","BLA_02","Margin",-0.710736421843429,-2.07457508928551,-1.02590118912081,-0.358382917318016,-0.0086844748697314,0.115893378270607,-0.467069256005857,-0.0677191907920531,-0.179441236113764,-0.121554745162038,0.0715170235857677,"Margin"
NA,NA,"BLA","BLA_03","Margin",-0.665394899043771,-2.0373200237446,-1.02471706419979,-0.362018841472236,-0.0287012217562234,0.101383947107508,-0.457656355075883,-0.0739660055109033,-0.193520583051848,-0.0945368993366484,0.0862604787119022,"Margin"
NA,NA,"BLA","BLA_04","Margin",-0.665664469159538,-2.03737158655956,-1.02496481978837,-0.36210132312338,-0.0289067143523675,0.101443890089744,-0.457687316990338,-0.0744950767201793,-0.193370882228619,-0.0944692542023667,0.0862511323112837,"Margin"
