"","Family","Pop","Tree","State","Region","Date","lat","lon","Elevation","DBH","bio1_13","bio2_13","bio3_13","bio4_13","bio5_13","bio6_13","bio7_13","bio8_13","bio9_13","bio10_13","bio11_13","bio12_13","bio13_13","bio14_13","bio15_13","bio16_13","bio17_13","bio18_13","bio19_13","BudSet2019_Plasticity","BudSet2020_Plasticity","BudBreak2020_Plasticity","growth2019_Plasticity","growth2020_Plasticity"
"94","EQU_02","EQU",2,"VT","C",9212017,43.14051,-73.14051,701,35.1,52,114,29,9444,244,-142,386,170,-63,170,-74,1293,126,84,11,353,273,353,282,19.5611000545553,34.9107866406354,30.2533142706613,1.28043642418205,1.19647835871731
"95","EQU_03","EQU",3,"VT","C",9212017,43.14039,-73.13477,744,27.2,52,114,29,9444,244,-142,386,170,-63,170,-74,1293,126,84,11,353,273,353,282,31.1877686244177,27.1859007967863,27.6901004061298,2.52991666118469,2.64542215715346
"96","EQU_04","EQU",4,"VT","C",9212017,43.15425,-73.12742,975,26.3,39,106,28,9327,224,-149,373,155,-75,155,-85,1411,135,94,10,381,302,381,312,20.3167264436219,24.7743362096234,30.515864880409,1.10939664078146,2.44496702056092
"97","EQU_05","EQU",5,"VT","C",9212017,43.15975,-73.1255,1023,23.3,39,106,28,9305,223,-149,372,155,-75,155,-85,1410,135,93,10,381,301,381,311,14.4877074172475,29.0840773217826,31.3221598806796,1.09781812738966,5.4309128946685
"98","EQU_06","EQU",6,"VT","C",9212017,43.1619,-73.12386,1063,22.6,33,102,27,9292,215,-153,368,148,-80,148,-91,1469,140,98,10,395,316,395,326,20.0457887909333,29.1866297025136,24.8136431282063,0.189084860913425,5.96405347104929
"99","ESC_01","ESC",1,"NY","C",9052017,42.19985,-74.03118,678,37,64,109,29,9144,247,-121,368,157,-47,178,-58,1162,112,76,11,322,248,313,250,19.7371317517145,25.0629666300154,31.3434171026031,2.18406902511597,3.64262691664911
"100","ESC_02","ESC",2,"NY","C",9052017,42.20077,-74.03092,685,32.5,59,106,29,9075,239,-125,364,151,-52,171,-63,1206,115,80,10,331,259,323,261,22.91002115795,28.889097187072,28.998315006196,0.904895586906187,1.36441343544181
"101","ESC_03","ESC",3,"NY","C",9052017,42.20205,-74.02971,694,38.2,59,106,29,9075,239,-125,364,151,-52,171,-63,1206,115,80,10,331,259,323,261,17.8241583840345,31.6982528701855,28.4185756085444,2.16355031091104,9.54285607173076
"102","ESC_04","ESC",4,"NY","C",9052017,42.20549,-74.03112,730,28.6,59,106,29,9075,239,-125,364,151,-52,171,-63,1206,115,80,10,331,259,323,261,17.7016807306051,28.9885757095907,33.3129519003856,4.50112590586365,0.795136990177932
"103","ESC_05","ESC",5,"NY","C",9052017,42.21354,-74.03379,792,23.6,51,103,28,9059,229,-131,360,99,-59,163,-70,1276,122,85,10,348,276,338,278,35.474577975313,35.2809093422472,30.6496265800731,1.56285527553864,8.55913192413289
"104","ESC_06","ESC",6,"NY","C",9052017,42.21471,-74.03587,829,6,51,103,28,9059,229,-131,360,99,-59,163,-70,1276,122,85,10,348,276,338,278,15.063952375259,27.7105956028278,32.5092272367255,4.40015429561944,3.44451956052909
"105","G13_01","G13",1,"PA","M",9122017,41.41342,-76.29673,641,68,67,109,30,8754,249,-107,356,157,-49,176,-49,1019,111,59,20,317,187,305,187,29.062239398295,33.6000424363397,30.0194848295022,3.28767030505068,5.95906230525512
"106","G13_02","G13",2,"PA","M",9122017,41.41315,-76.29758,639,41.2,67,109,30,8754,249,-107,356,157,-49,176,-49,1019,111,59,20,317,187,305,187,35.3104021568825,32.5167240575989,29.25085437731,3.59396403113048,6.18928568112041
"107","G13_03","G13",3,"PA","M",9122017,41.41275,-76.29931,634,40.3,67,109,30,8754,249,-107,356,157,-49,176,-49,1019,111,59,20,317,187,305,187,24.4045289057892,31.3974307604371,28.1244584698469,1.51314724646254,3.43392127238713
"108","G13_04","G13",4,"PA","M",9122017,41.41232,-76.29998,637,37.5,67,109,30,8754,249,-107,356,157,-49,176,-49,1019,111,59,20,317,187,305,187,37.6175835448689,29.164443566672,30.000463452451,4.50319902925859,2.9326677612682
"109","G13_05","G13",5,"PA","M",9122017,41.41286,-76.2958,640,18.2,67,109,30,8754,249,-107,356,157,-49,176,-49,1019,111,59,20,317,187,305,187,30.6755079438743,34.0376599142623,27.3976659906469,1.37811851966629,2.34167750757572
"110","G18_01","G18",1,"PA","M",9132017,41.09564,-75.4884,538,NA,72,113,31,8822,255,-108,363,162,-35,182,-46,1217,122,79,12,346,255,331,257,11.701692484224,25.5132778170839,28.1394943234447,3.00480160534994,6.09789931436118
"111","G18_02","G18",2,"PA","M",9132017,41.09326,-75.49049,552,NA,72,113,31,8822,255,-108,363,162,-35,182,-46,1217,122,79,12,346,255,331,257,19.0098039631342,32.4672581652244,26.08459614623,2.25007067630556,10.6485654466606
"112","G18_03","G18",3,"PA","M",9132017,41.09363,-75.48915,560,NA,72,113,31,8822,255,-108,363,162,-35,182,-46,1217,122,79,12,346,255,331,257,8.8834132733945,34.8117165350647,27.0911940994803,4.53072633242299,3.54163404460208
"113","G57_01","G57",1,"PA","M",9122017,41.38781,-76.25086,644,28,66,108,30,8779,247,-109,356,156,-51,175,-51,1042,112,61,19,321,194,310,194,29.2780926513657,29.0179476430685,26.8364410662434,2.79011456358587,4.25234285347082
"114","G57_02","G57",2,"PA","M",9122017,41.38786,-76.24996,644,28.2,67,108,30,8745,248,-107,355,156,-49,175,-49,1041,112,61,19,321,193,310,193,25.8944985673055,34.4682732759459,27.8698579730557,1.66678518111564,6.42865605517392
"115","G57_03","G57",3,"PA","M",9122017,41.39196,-76.24501,635,22.4,67,108,30,8754,248,-107,355,157,-49,176,-49,1033,111,60,19,319,191,307,191,25.972711649138,29.4394272738035,36.2736799385854,3.68235855038238,5.58037110999929
"116","G57_04","G57",4,"PA","M",9122017,41.38787,-76.25036,655,25.6,66,108,30,8779,247,-109,356,156,-51,175,-51,1042,112,61,19,321,194,310,194,36.0966371486174,34.840584730213,31.870754166971,6.22199330953435,6.5119180927199
"117","G57_05","G57",5,"PA","M",9122017,41.3885,-76.27803,646,63.7,68,109,30,8791,250,-108,358,157,-50,177,-50,1026,111,60,19,318,189,307,189,23.5685376775936,26.0218388222425,28.8519989591622,0.925313388239855,2.08502272302315
"118","G57_06","G57",6,"PA","M",9122017,41.39518,-76.24475,632,17.7,67,108,30,8754,248,-107,355,157,-49,176,-49,1033,111,60,19,319,191,307,191,31.7076170481859,31.5356299391673,27.5034870264768,0.450239438410062,5.31852213493445
"119","G57_07","G57",7,"PA","M",9062017,41.41808,-76.16374,647,25.4,66,107,30,8778,247,-108,355,156,-51,175,-51,1055,112,63,18,322,199,311,199,29.0808033571749,28.1822886510591,28.3688520748589,3.99133422698381,4.54835549571167
"120","G57_08","G57",8,"PA","M",9062017,41.41875,-76.16496,652,45.7,66,107,30,8778,247,-108,355,156,-51,175,-51,1055,112,63,18,322,199,311,199,15.7086374105025,22.683814214718,31.1368103750487,3.90087190634109,4.01456335735809
"121","G57_09","G57",9,"PA","M",9062017,41.41903,-76.16552,652,30.7,66,107,30,8778,247,-108,355,156,-51,175,-51,1055,112,63,18,322,199,311,199,36.6905594827673,28.8590479252469,27.5194403254977,6.14600593862708,9.47244863254515
"122","G57_10","G57",10,"PA","M",9062017,41.41903,-76.16604,652,25.9,66,107,30,8778,247,-108,355,156,-51,175,-51,1055,112,63,18,322,199,311,199,36.7933556367698,30.4448553924371,30.3946746886795,4.47472376610617,1.63023465120744
"123","G57_11","G57",11,"PA","M",9062017,41.41982,-76.16662,652,33,66,107,30,8778,247,-108,355,156,-51,175,-51,1055,112,63,18,322,199,311,199,32.3962956159618,22.2332144271766,31.1733593272147,2.25477513233598,7.48870112735629
"124","GFM_48","GFM",48,"NC","E",NA,36.0898,-81.8383,1425,29.9,90,112,36,7016,238,-70,308,160,-4,177,-4,1523,143,104,11,422,325,420,325,19.1061554527519,25.8986516888704,25.5240662235285,1.60328909913233,3.85247462547111
"125","GFM_49","GFM",49,"NC","E",NA,36.0902,-81.8376,1423,34.7,90,112,36,7016,238,-70,308,160,-4,177,-4,1523,143,104,11,422,325,420,325,15.9019754290219,26.1737552061346,27.9030508313892,1.88564269477931,3.1484444807246
"126","GFM_50","GFM",50,"NC","E",NA,36.0905,-81.8369,1437,26.9,90,112,36,7016,238,-70,308,160,-4,177,-4,1523,143,104,11,422,325,420,325,23.0399195949771,29.2917861304257,26.2311608548224,4.15368691171371,6.43945056137691
"127","GFM_51","GFM",51,"NC","E",NA,36.0911,-81.8365,1444,44.9,90,112,36,7016,238,-70,308,160,-4,177,-4,1523,143,104,11,422,325,420,325,28.1626779404479,26.0727869022306,26.4180041623896,2.75039940426568,7.91310969548809
"128","GFM_55","GFM",55,"NC","E",NA,36.0928,-81.8361,1486,44.9,85,108,35,6985,231,-72,303,156,-8,173,-8,1548,144,104,11,430,328,427,328,39.2820866026864,31.8108061314964,26.2821199339842,4.30935724534135,4.14575476250038
