"plant_ID","Family","Population","Region","Latitude","Longitude","Elevation","Bed","mBed","Garden","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0","Value","Trait"
"AB_16_NC_C","AB_16","AB","Edge",35.53882,83.49534,1738,"C","North_Carolina_C","North_Carolina",-2.82387817764868,4.21114639750153,-9.85361058869086,-5.01016433622286,31.4,304,37.75,53.5,684.95,"BudBreak"
"AB_16_NC_E","AB_16","AB","Edge",35.53882,83.49534,1738,"E","North_Carolina_E","North_Carolina",-2.82387817764868,4.21114639750153,-9.85361058869086,-5.01016433622286,31.4,304,37.75,53.5,684.95,"BudBreak"
"AB_16_MD_E","AB_16","AB","Edge",35.53882,83.49534,1738,"E","Maryland_E","Maryland",-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5,693.8,"BudBreak"
"AB_16_VT_D","AB_16","AB","Edge",35.53882,83.49534,1738,"D","Vermont_D","Vermont",-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5,591.2,"BudBreak"
"AB_16_VT_E","AB_16","AB","Edge",35.53882,83.49534,1738,"E","Vermont_E","Vermont",-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5,554.55,"BudBreak"
"AB_18_VT_E","AB_18","AB","Edge",35.53945,83.49375,1769,"E","Vermont_E","Vermont",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5,591.2,"BudBreak"
"AB_18_VT_C","AB_18","AB","Edge",35.53945,83.49375,1769,"C","Vermont_C","Vermont",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5,591.2,"BudBreak"
"AB_18_NC_A","AB_18","AB","Edge",35.53945,83.49375,1769,"A","North_Carolina_A","North_Carolina",-2.88864662069922,4.35801758776731,-9.85361058869086,-5.01016433622286,31.3,308,37.75,53.5,626.35,"BudBreak"
"AB_18_MD_A","AB_18","AB","Edge",35.53945,83.49375,1769,"A","Maryland_A","Maryland",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5,687.4,"BudBreak"
"AB_18_MD_C","AB_18","AB","Edge",35.53945,83.49375,1769,"C","Maryland_C","Maryland",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5,665.65,"BudBreak"
"AB_18_MD_E","AB_18","AB","Edge",35.53945,83.49375,1769,"E","Maryland_E","Maryland",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5,679.3,"BudBreak"
"AB_18_NC_D","AB_18","AB","Edge",35.53945,83.49375,1769,"D","North_Carolina_D","North_Carolina",-2.88864662069922,4.35801758776731,-9.85361058869086,-5.01016433622286,31.3,308,37.75,53.5,684.95,"BudBreak"
"AB_18_VT_D","AB_18","AB","Edge",35.53945,83.49375,1769,"D","Vermont_D","Vermont",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5,568.5,"BudBreak"
"AB_18_VT_B","AB_18","AB","Edge",35.53945,83.49375,1769,"B","Vermont_B","Vermont",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5,538.3,"BudBreak"
"AB_18_MD_B","AB_18","AB","Edge",35.53945,83.49375,1769,"B","Maryland_B","Maryland",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5,696.9,"BudBreak"
"AB_18_NC_E","AB_18","AB","Edge",35.53945,83.49375,1769,"E","North_Carolina_E","North_Carolina",-2.88864662069922,4.35801758776731,-9.85361058869086,-5.01016433622286,31.3,308,37.75,53.5,750.9,"BudBreak"
"ALB_01_MD_A","ALB_01","ALB","Core",44.3067,70.84019,455,"A","Maryland_A","Maryland",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5,657.5,"BudBreak"
"ALB_01_NC_A","ALB_01","ALB","Core",44.3067,70.84019,455,"A","North_Carolina_A","North_Carolina",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5,725.5,"BudBreak"
"ALB_01_NC_B","ALB_01","ALB","Core",44.3067,70.84019,455,"B","North_Carolina_B","North_Carolina",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5,725.5,"BudBreak"
"ALB_01_NC_D","ALB_01","ALB","Core",44.3067,70.84019,455,"D","North_Carolina_D","North_Carolina",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5,750.9,"BudBreak"
"ALB_01_NC_C","ALB_01","ALB","Core",44.3067,70.84019,455,"C","North_Carolina_C","North_Carolina",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5,725.5,"BudBreak"
"ALB_01_VT_C","ALB_01","ALB","Core",44.3067,70.84019,455,"C","Vermont_C","Vermont",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5,554.55,"BudBreak"
"ALB_01_VT_A","ALB_01","ALB","Core",44.3067,70.84019,455,"A","Vermont_A","Vermont",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5,554.55,"BudBreak"
"ALB_01_VT_E","ALB_01","ALB","Core",44.3067,70.84019,455,"E","Vermont_E","Vermont",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5,554.55,"BudBreak"
