"","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","initial_ht","Height_Fall2019","Growth"
"83","ALB_02_MD_A","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"MD_A","Maryland","A",6,2,1,6,2,4.5,5,0.5
"84","ALB_02_MD_B","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"MD_B","Maryland","B",2,54,4,2,11,8,12,4
"85","ALB_02_MD_C","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"MD_C","Maryland","C",3,38,3,3,10,8,19,11
"86","ALB_02_MD_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"MD_D","Maryland","D",2,18,2,2,4,19.5,22,2.5
"87","ALB_02_MD_E","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"MD_E","Maryland","E",3,61,5,3,5,9,15,6
"88","ALB_02_NC_A","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"NC_A","North_Carolina","A",2,25,2,2,11,22,37,15
"89","ALB_02_NC_B","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"NC_B","North_Carolina","B",3,52,4,3,10,9.5,12,2.5
"90","ALB_02_NC_C","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"NC_C","North_Carolina","C",2,18,2,2,4,24.5,36,11.5
"91","ALB_02_NC_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"NC_D","North_Carolina","D",6,2,1,6,2,17.5,25.5,8
"92","ALB_02_NC_E","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"NC_E","North_Carolina","E",3,61,5,3,5,13,19.5,6.5
"93","ALB_02_VT_A","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"VT_A","Vermont","A",2,32,3,2,4,30,29.5,-0.5
"94","ALB_02_VT_B","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"VT_B","Vermont","B",2,69,5,2,13,16,15,-1
"95","ALB_02_VT_C","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"VT_C","Vermont","C",3,61,5,3,5,16,23,7
"96","ALB_02_VT_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"VT_D","Vermont","D",2,53,4,2,11,17,30.5,13.5
"97","ALB_02_VT_E","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"VT_E","Vermont","E",3,24,2,3,10,13,22,9
"98","ALB_03_MD_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"MD_A","Maryland","A",5,67,5,5,11,17,26,9
