"X","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","FinalHT","Height_Fall2019","Growth","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0"
78,"ALB_02_MD_C","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Maryland_C","Maryland","C",3,38,3,3,10,26.5,19,7.5,1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5
79,"ALB_02_MD_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Maryland_D","Maryland","D",2,18,2,2,4,47,22,25,1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5
80,"ALB_02_NC_A","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"North_Carolina_A","North_Carolina","A",2,25,2,2,11,50,37,13,1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5
81,"ALB_02_NC_B","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"North_Carolina_B","North_Carolina","B",3,52,4,3,10,19,12,7,1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5
82,"ALB_02_NC_C","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"North_Carolina_C","North_Carolina","C",2,18,2,2,4,51,36,15,1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5
83,"ALB_02_NC_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"North_Carolina_D","North_Carolina","D",6,2,1,6,2,37,25.5,11.5,1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5
84,"ALB_02_NC_E","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"North_Carolina_E","North_Carolina","E",3,61,5,3,5,23,19.5,3.5,1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5
85,"ALB_02_VT_A","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Vermont_A","Vermont","A",2,32,3,2,4,42,29.5,12.5,1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5
86,"ALB_02_VT_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Vermont_D","Vermont","D",2,53,4,2,11,51.5,30.5,21,1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5
87,"ALB_02_VT_E","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Vermont_E","Vermont","E",3,24,2,3,10,33.5,22,11.5,1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5
88,"ALB_03_MD_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Maryland_A","Maryland","A",5,67,5,5,11,39.5,26,13.5,1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5
