plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet
AB_18_MD_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,E,3,5,1,3,5,237
ALB_01_VT_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,B,4,60,5,4,4,244
ALB_01_VT_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,A,6,35,3,6,7,222
ALB_01_VT_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,E,4,67,5,4,11,222
ALB_01_MD_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,A,4,11,1,4,11,237
ALB_01_MD_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,B,4,65,5,4,9,204
ALB_01_MD_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,C,4,4,1,4,4,232
ALB_01_MD_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,D,6,21,2,6,7,245
ALB_01_MD_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,E,5,34,3,5,6,240
ALB_01_NC_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,A,4,6,1,4,6,195
ALB_01_NC_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,B,4,4,1,4,4,242
ALB_01_NC_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,C,6,21,2,6,7,206
ALB_01_NC_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,E,5,48,4,5,6,198
ALB_01_VT_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,C,5,20,2,5,6,236
ALB_01_VT_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,D,4,6,1,4,6,249
ALB_02_VT_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,C,3,61,5,3,5,271
ALB_02_VT_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,A,2,32,3,2,4,215
ALB_02_NC_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,C,2,18,2,2,4,200
ALB_02_NC_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,D,6,2,1,6,2,197
ALB_02_NC_E,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,E,3,61,5,3,5,198
ALB_02_MD_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,A,6,2,1,6,2,209
ALB_02_MD_B,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,B,2,53,4,2,11,199
ALB_02_MD_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,C,3,38,3,3,10,201
ALB_02_MD_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,D,2,18,2,2,4,202
