"plant_ID","Family","Population","Region","Latitude","Longitude","Elevation","Bed","mBed","Garden","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0","cGDD","BudSet","Growth"
"AB_18_NC_E","AB_18","AB","Edge",35.53945,83.49375,1769,"E","North_Carolina_E","North_Carolina",-2.88864662069922,4.35801758776731,-9.85361058869086,-5.01016433622286,31.3,308,37.75,53.5,750.9,197,14.5
"ALB_01_MD_A","ALB_01","ALB","Core",44.3067,70.84019,455,"A","Maryland_A","Maryland",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5,657.5,237,22
"ALB_01_NC_A","ALB_01","ALB","Core",44.3067,70.84019,455,"A","North_Carolina_A","North_Carolina",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5,725.5,195,12
"ALB_01_NC_B","ALB_01","ALB","Core",44.3067,70.84019,455,"B","North_Carolina_B","North_Carolina",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5,725.5,242,23
"ALB_01_NC_C","ALB_01","ALB","Core",44.3067,70.84019,455,"C","North_Carolina_C","North_Carolina",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5,725.5,206,22.5
"ALB_01_VT_A","ALB_01","ALB","Core",44.3067,70.84019,455,"A","Vermont_A","Vermont",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5,554.55,222,26
"ALB_01_VT_E","ALB_01","ALB","Core",44.3067,70.84019,455,"E","Vermont_E","Vermont",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5,554.55,222,20
"ALB_01_MD_C","ALB_01","ALB","Core",44.3067,70.84019,455,"C","Maryland_C","Maryland",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5,665.65,232,21.5
"ALB_01_VT_B","ALB_01","ALB","Core",44.3067,70.84019,455,"B","Vermont_B","Vermont",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5,538.3,244,20.5
"ALB_01_VT_D","ALB_01","ALB","Core",44.3067,70.84019,455,"D","Vermont_D","Vermont",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5,554.55,249,13
"ALB_01_MD_E","ALB_01","ALB","Core",44.3067,70.84019,455,"E","Maryland_E","Maryland",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5,693.8,240,36.5
"ALB_01_NC_E","ALB_01","ALB","Core",44.3067,70.84019,455,"E","North_Carolina_E","North_Carolina",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5,684.95,198,11
"ALB_01_MD_D","ALB_01","ALB","Core",44.3067,70.84019,455,"D","Maryland_D","Maryland",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5,642.5,245,49
"ALB_02_NC_D","ALB_02","ALB","Core",44.30564,70.84081,524,"D","North_Carolina_D","North_Carolina",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5,750.9,197,11.5
"ALB_02_MD_A","ALB_02","ALB","Core",44.30564,70.84081,524,"A","Maryland_A","Maryland",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5,549.55,209,10.3
"ALB_02_NC_C","ALB_02","ALB","Core",44.30564,70.84081,524,"C","North_Carolina_C","North_Carolina",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5,684.95,200,15
"ALB_02_MD_D","ALB_02","ALB","Core",44.30564,70.84081,524,"D","Maryland_D","Maryland",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5,683.5,202,25
"ALB_02_MD_C","ALB_02","ALB","Core",44.30564,70.84081,524,"C","Maryland_C","Maryland",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5,642.5,201,7.5
"ALB_02_VT_A","ALB_02","ALB","Core",44.30564,70.84081,524,"A","Vermont_A","Vermont",1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5,568.5,215,12.5
"ALB_02_NC_A","ALB_02","ALB","Core",44.30564,70.84081,524,"A","North_Carolina_A","North_Carolina",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5,684.95,195,13
"ALB_02_MD_B","ALB_02","ALB","Core",44.30564,70.84081,524,"B","Maryland_B","Maryland",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5,629.9,199,5
"ALB_02_VT_D","ALB_02","ALB","Core",44.30564,70.84081,524,"D","Vermont_D","Vermont",1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5,591.2,244,21
"ALB_02_NC_B","ALB_02","ALB","Core",44.30564,70.84081,524,"B","North_Carolina_B","North_Carolina",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5,570.9,196,7
"ALB_02_NC_E","ALB_02","ALB","Core",44.30564,70.84081,524,"E","North_Carolina_E","North_Carolina",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5,454.4,198,3.5
"ALB_03_VT_D","ALB_03","ALB","Core",44.30359,70.84096,523,"D","Vermont_D","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,554.55,249,14
"ALB_03_VT_C","ALB_03","ALB","Core",44.30359,70.84096,523,"C","Vermont_C","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,554.55,236,13.5
